ID,Code,Name,UserType,Tags,Reconcile,Currency
account_xfa,X1000,Fixed Assets - (test),account_data_account_type_fixed_assets,,,
account_cas,X1010,Current Assets - (test),account_data_account_type_current_assets,,,
account_stk,X1011,Purchased Stocks - (test),account_data_account_type_current_assets,account.demo_stock_account,,
account_a_recv,X1012,Debtors - (test),account_data_account_type_receivable,,true,
account_ova,X1013,VAT Paid- (test),account_data_account_type_current_assets,,,
account_bnk,X1014,Bank Current Account - (test),account_data_account_type_liquidity,,,
account_cash,X1015,Cash - (test),account_data_account_type_liquidity,,,
account_o_income,X1016,Opening Income - (test),account_data_account_type_other_income,,,
account_usd_bnk,X1017,USD Bank Account - (test),account_data_account_type_liquidity,,,base_USD
account_transfer_account,X1019,Internal Transfert Account - (test),account_data_account_type_current_assets,,1,
account_ncas,X1020,Non-current Assets - (test),account_data_account_type_non_current_assets,,,
account_prepayements,X1030,Prepayments - (test),account_data_account_type_prepayments,,,
account_current_liabilities,X1110,Current Liabilities - (test),account_data_account_type_current_liabilities,,,
account_a_pay,X1111,Creditors - (test),account_data_account_type_payable,,true,
account_iva,X1112,VAT Received - (test),account_data_account_type_current_liabilities,,,
account_rsa,X1113,Reserve and Profit/Loss - (test),account_data_account_type_current_liabilities,,,
account_cas,X1120,Non-current Liabilities - (test),account_data_account_type_non_current_liabilities,,,
account_o_expense,X1114,Opening Expense - (test),account_data_account_type_expenses,,,
account_income_fx_income,X2010,Foreign Exchange Gain - (test),account_data_account_type_revenue,,false,
account_a_sale,X2020,Product Sales - (test),account_data_account_type_revenue,account.account_tag_operating,,
account_a_sale_invest,X2021,Sale of Lands - (test),account_data_account_type_revenue,account.account_tag_investing,,
account_a_sale_finance,X2022,Bank Accounts Interests - (test),account_data_account_type_revenue,account.account_tag_financing,,
account_cog,X2030,Cost of Goods Sold - (test),account_data_account_type_direct_costs,,,
account_income_fx_expense,X2110,Foreign Exchange Loss - (test),account_data_account_type_expenses,,false,
account_a_expense,X2120,Expenses - (test),account_data_account_type_expenses,account.account_tag_operating,,
account_a_salary_expense,X2121,Salary Expenses - (test),account_data_account_type_expenses,account.account_tag_operating,,
account_a_expense_invest,X2122,Purchase of Equipments - (test),account_data_account_type_fixed_assets,account.account_tag_investing,,
account_a_expense_finance,X2123,Bank Fees - (test),account_data_account_type_expenses,account.account_tag_financing,,
account_a_capital,X3001,Capital,account_data_account_type_equity,,,
account_a_dividends,X3002,Dividends,account_data_account_type_equity,,,
account_a_current_year_earnings,X0000,Unaffected Earnings,account_data_unaffected_earnings,,,
