ID,Code,Name,Reconcile,UserType,ChartTemplate,Tags
l10n_generic_coa_conf_xfa,1000,Fixed Asset Account,,account_data_account_type_fixed_assets,l10n_generic_coa_configurable_chart_template,
l10n_generic_coa_conf_stk,1010,Current Assets,,account_data_account_type_current_assets,l10n_generic_coa_configurable_chart_template,
l10n_generic_coa_conf_cas,10111,Stock Valuation Account,,account_data_account_type_current_assets,l10n_generic_coa_configurable_chart_template,
l10n_generic_coa_conf_cas_interim1,10112,Stock Interim Account (Received),,account_data_account_type_current_assets,l10n_generic_coa_configurable_chart_template,
l10n_generic_coa_conf_cas_interim2,10113,Stock Interim Account (Delivered),,account_data_account_type_current_assets,l10n_generic_coa_configurable_chart_template,
l10n_generic_coa_conf_a_recv,1012,Account Receivable,true,account_data_account_type_receivable,l10n_generic_coa_configurable_chart_template,
l10n_generic_coa_conf_ova,1013,Tax Paid,,account_data_account_type_current_assets,l10n_generic_coa_configurable_chart_template,
l10n_generic_coa_conf_o_income,1016,Opening Income Account,,account_data_account_type_other_income,l10n_generic_coa_configurable_chart_template,
l10n_generic_coa_conf_ncas,1020,Non-current assets,,account_data_account_type_non_current_assets,l10n_generic_coa_configurable_chart_template,
l10n_generic_coa_conf_prepayments,1030,Prepayments,,account_data_account_type_prepayments,l10n_generic_coa_configurable_chart_template,
l10n_generic_coa_current_liabilities,1110,Current Liabilities,,account_data_account_type_current_liabilities,l10n_generic_coa_configurable_chart_template,
l10n_generic_coa_conf_a_pay,1111,Account Payable,true,account_data_account_type_payable,l10n_generic_coa_configurable_chart_template,
l10n_generic_coa_conf_iva,1112,Tax Received,,account_data_account_type_current_liabilities,l10n_generic_coa_configurable_chart_template,
l10n_generic_coa_conf_a_reserve_and_surplus,1113,Reserve and Profit/Loss Account,true,account_data_account_type_current_liabilities,l10n_generic_coa_configurable_chart_template,
l10n_generic_coa_cas,1120,Non-current Liabilities,,account_data_account_type_non_current_liabilities,l10n_generic_coa_configurable_chart_template,
l10n_generic_coa_conf_a_sale,200,Product Sales,,account_data_account_type_revenue,l10n_generic_coa_configurable_chart_template,"[(6,0,[ref('account.account_tag_operating')])]"
l10n_generic_coa_conf_cog,210,Cost of Revenue,,account_data_account_type_direct_costs,l10n_generic_coa_configurable_chart_template,"[(6,0,[ref('account.account_tag_operating')])]"
l10n_generic_coa_conf_a_expense,220,Expenses,,account_data_account_type_expenses,l10n_generic_coa_configurable_chart_template,"[(6,0,[ref('account.account_tag_operating')])]"
l10n_generic_coa_exchange_fx_income,2010,Foreign Exchange Gain,false,account_data_account_type_revenue,l10n_generic_coa_configurable_chart_template,"[(6,0,[ref('account.account_tag_financing')])]"
l10n_generic_coa_exchange_fx_expense,2110,Foreign Exchange Loss,false,account_data_account_type_expenses,l10n_generic_coa_configurable_chart_template,"[(6,0,[ref('account.account_tag_financing')])]"
l10n_generic_coa_a_salary_expense,2121,Salary Expenses,,account_data_account_type_expenses,l10n_generic_coa_configurable_chart_template,"[(6,0,[ref('account.account_tag_operating')])]"
l10n_generic_coa_a_expense_invest,2122,Purchase of Equipments,,account_data_account_type_expenses,l10n_generic_coa_configurable_chart_template,"[(6,0,[ref('account.account_tag_investing')])]"
l10n_generic_coa_a_expense_finance,2123,Bank Fees,,account_data_account_type_expenses,l10n_generic_coa_configurable_chart_template,"[(6,0,[ref('account.account_tag_financing')])]"
l10n_generic_coa_a_capital,3001,Capital,,account_data_account_type_equity,l10n_generic_coa_configurable_chart_template,
l10n_generic_coa_a_dividends,3002,Dividends,,account_data_account_type_equity,l10n_generic_coa_configurable_chart_template,
